제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
[한국수자원공사] 천안권지사 천안현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,충남,1,23.02.02 ~ 23.02.13
2023년 상반기 한국지능정보사회진흥원 무기 및 단기계약직 채용공고,한국지능정보사회진흥원,"사업관리,경영.회계.사무,사회복지.종교,경비.청소,정보통신","무기계약직,비정규직",학력무관,신입+경력,"대구,광주,울산,경기,강원,제주",18,23.02.02 ~ 23.02.16
[한국수자원공사] 단양수도지사 단기계약근로자(지방상수도 시설운영) 채용 공고,한국수자원공사,"사업관리,건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,충북,1,23.02.02 ~ 23.02.09
2023년도 한국폴리텍대학 대전캠퍼스 초빙교원 채용 공고,학교법인한국폴리텍,정보통신,비정규직,"대졸(4년),석사,박사",경력,대전,1,23.02.02 ~ 23.02.08
2023-1차 계약직(육아휴직 대체인력) 채용공고,안전성평가연구소,"경영.회계.사무,정보통신",비정규직,"대졸(2~3년),대졸(4년)",신입+경력,대전,2,23.02.01 ~ 23.02.15
2023년 제1차 직원 및 청년인턴 채용,한국저작권위원회,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,문화.예술.디자인.방송,전기.전자,정보통신","정규직,비정규직,청년인턴(체험형)","학력무관,석사,박사",신입+경력,"서울,경남",25,23.02.01 ~ 23.02.16
2023년 상반기 KAIST 일반직 직원 채용 공고,한국과학기술원,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,문화.예술.디자인.방송,건설,기계,재료,화학,전기.전자,정보통신,환경.에너지.안전,연구",정규직,대졸(4년),신입+경력,"서울,대전",20,23.02.01 ~ 23.02.16
기술직 6급 전산행정(정보운영팀) 채용 공고,국립중앙의료원,"보건.의료,정보통신",정규직,학력무관,신입+경력,서울,1,23.02.01 ~ 23.02.16
[한국수자원공사] 경남서부권지사 통영수도센터 특수직(기술관리) 채용 공고,한국수자원공사,"건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경남,2,23.02.01 ~ 23.02.08
무기계약직 전산행정(정보운영팀) 채용 공고,국립중앙의료원,"보건.의료,정보통신",무기계약직,학력무관,경력,서울,1,23.02.01 ~ 23.02.16
서울대학교치과병원 촉탁전산직 채용 공고,서울대학교치과병원,"사업관리,보건.의료,정보통신",비정규직,대졸(4년),신입+경력,서울,1,23.02.01 ~ 23.02.14
2023년 상반기 한국철도공사 채용형인턴 채용공고(일반공채. 자격증 제한경쟁. 보훈 제한경쟁. 장애인 제한경쟁),한국철도공사,"경영.회계.사무,운전.운송,건설,기계,전기.전자,정보통신",청년인턴(채용형),학력무관,신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북",1261,23.02.01 ~ 23.02.15
"2023년도 상반기 한국철도공사 전문인력(전문직, 경력직) 채용 공고",한국철도공사,"경영.회계.사무,법률.경찰.소방.교도.국방,운전.운송,기계,전기.전자,정보통신,환경.에너지.안전","정규직,비정규직","학력무관,대졸(2~3년),대졸(4년),석사,박사",신입+경력,"서울,인천,대전,부산,울산,경기,충남,충북,경남,세종",21,23.02.01 ~ 23.02.15
노사발전재단(정보화기획팀) [재단 지역센터·단 망분리 및 정보화 지원] 단기기간제 채용,노사발전재단,정보통신,비정규직,학력무관,신입+경력,서울,1,23.01.31 ~ 23.02.07
한국폴리텍대학 구미캠퍼스 2023년도 상반기 학위과정 시간강사 공개채용 공고,학교법인한국폴리텍,"교육.자연.사회과학,전기.전자,정보통신",비정규직,"대졸(2~3년),대졸(4년),석사",신입+경력,경북,2,23.02.01 ~ 23.02.07
한전KDN(주) 경기강원지역본부 직할 AMI분야 비정규직 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,87,23.01.31 ~ 23.02.14
한전KDN 인천사업처 AMI분야 비정규직 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,"인천,경기",20,23.01.30 ~ 23.02.13
한전KDN(주) 부산울산경남지역본부 직할 AMI분야 비정규직 모집공고,한전KDN,"경영.회계.사무,정보통신",비정규직,학력무관,신입+경력,부산,1,23.01.30 ~ 23.02.13
한전KDN(주) 보안관제 프로젝트계약근로자 모집(보령),한전KDN,정보통신,비정규직,학력무관,신입+경력,충남,1,23.01.30 ~ 23.02.13
[제2023-005호] 과학기술사업화진흥원 신규직원(개방형 계약직_선임급_정보화 S/W) 채용 공고,과학기술사업화진흥원,"사업관리,정보통신",비정규직,"석사,박사",경력,서울,1,23.01.30 ~ 23.02.14
[한국수자원공사] 부산울산경남지역협력단 특수직(함양현대화사업소) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경남,1,23.01.30 ~ 23.02.06
