,sitename,url,collectiondate,startdate,enddate,companyname,location,recruitfield,recruittype,recruitclassification,personnel,salary,position,task,qualifications,prefer,welfare,description,stacks
0,SEEK,https://www.seek.com.au/job/60078843?type=promoted,1675658413.0,1675658413.0,,L J Hooker Wollongong,"Wollongong, Wollongong, Illawarra & South Coast NSW",,,,,,Receptionists (Administration & Office Support),,,,,"How many years' experience do you have in the real estate industry?
Which of the following statements best describes your right to work in Australia?
Do you have experience in administration?
",
1,SEEK,https://www.seek.com.au/job/60070516?type=promoted,1675658413.0,1675658413.0,,5TH Street Automotive and Finance Pty Ltd,"Milperra, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
2,SEEK,https://www.seek.com.au/job/60076232?type=standout,1675658414.0,1675658414.0,,The University of Queensland,"Herston, Brisbane QLD",,,,,,Administrative Assistants (Administration & Office Support) • Other (Education & Training),,,,,,
3,SEEK,https://www.seek.com.au/job/60075972?type=standout,1675658414.0,1675658414.0,,Aquabliss,Sydney NSW,,,,,,Receptionists (Administration & Office Support),,,,,"Do you have customer service experience?
Which of the following statements best describes your right to work in Australia?
Do you have a current Working With Children (WWC) Check?
How many years' experience do you have as a receptionist?
",
4,SEEK,https://www.seek.com.au/job/60073419?type=standout,1675658415.0,1675658415.0,,The University of Queensland,"St Lucia, Brisbane QLD",,,,,,Administrative Assistants (Administration & Office Support) • Other (Education & Training),,,,,,
5,SEEK,https://www.seek.com.au/job/60072147?type=standard,1675658416.0,1675658416.0,,Mission Australia,"Camperdown, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,,
6,SEEK,https://www.seek.com.au/job/60071244?type=standard,1675658416.0,1675658416.0,,Next Generation Contractors Pty Ltd,"Llandilo, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
Which of the following statements best describes your right to work in Australia?
",
7,SEEK,https://www.seek.com.au/job/60076338?type=standard,1675658417.0,1675658417.0,,Private Advertiser,"Southern Suburbs & Logan, Brisbane QLD",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Which of the following statements best describes your Covid-19 vaccination status?
Do you have experience using SAP Software?
",
8,SEEK,https://www.seek.com.au/job/60039516?type=standout,1675658417.0,1675399217.0,,Veteran Medical,"Narrabeen, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Which of the following statements best describes your right to work in Australia?
Which of the following Microsoft Office products are you experienced with?
Do you have customer service experience?
Do you have data entry experience?
",
9,SEEK,https://www.seek.com.au/job/60066324?type=standout,1675658418.0,1675658418.0,,VMORE,Brisbane QLD,,,,,,Medical Administration (Healthcare & Medical),,,,,"How many years' experience do you have as a medical secretary?
Which of the following medical practice management software do you have experience with?
",
10,SEEK,https://www.seek.com.au/job/60069468?type=standard,1675658418.0,1675658418.0,,Lifetime Wealth Planners,Sydney NSW,,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
",
11,SEEK,https://www.seek.com.au/job/60030302?type=standard,1675658419.0,1675399219.0,,Pet Resorts of Australia,"Terrigal, Gosford & Central Coast NSW",,,,,,"Veterinary Services & Animal Welfare (Farming, Animals & Conservation)",,,,,,
12,SEEK,https://www.seek.com.au/job/60078046?type=standard,1675658419.0,1675658419.0,,BEST Training,"Bankstown, Sydney NSW",,,,,,Administrative Assistants (Administration & Office Support),,,,,"Do you have experience in administration?
Do you have data entry experience?
Which of the following Microsoft Office products are you experienced with?
Do you have a current Working With Children (WWC) Check?
Have you completed a qualification in business administration?
Do you have experience using MYOB?
",
13,SEEK,https://www.seek.com.au/job/60071096?type=standout,1675658420.0,1675658420.0,,Gourmet Basket,"Belrose, Sydney NSW",,,,,,Customer Service - Call Centre (Call Centre & Customer Service),,,,,"Do you have customer service experience?
",
14,SEEK,https://www.seek.com.au/job/60077213?type=standard,1675658421.0,1675658421.0,,Australian Institute of Higher Education,Sydney NSW,,,,,,Student Services (Education & Training),,,,,"Do you have customer service experience?
Which of the following statements best describes your right to work in Australia?
",
